"","ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"34","ebf2903ac77f9f7a0ae55f18df2c7804",0,"More than 1000",1,1,10,2,7,"male"
"35","ad4231e6c871dd896b9ae7c3837b7366",0,"More than 1000",1,1,9,2,1,"male"
"36","9c6620a9f950bab060a2fe9d628265b2",0,"More than 1000",0,1,8,2,2,"male"
"37","74dc85064aa1440e07f5220d090e0d9e",0,"More than 1000",0,1,7,2,6,"male"
"38","6dcfc37e53057a5273f972cb0d706449",0,"More than 1000",0,1,7,2,4,"male"
"39","0558f3512bf10a0302b5b305dc08c471",0,"More than 1000",1,1,0,2,0,"male"
"40","306da14c6aa36014decab00ee44f8d8c",0,"100-500",1,0,3,3,6,"female"
"41","2507883a7154f4e74e9a6409f5949008",0,"6-25",0,1,6,3,3,"female"
"42","fc0f9e607a779be68e43c4d85d2d6efa",0,"More than 1000",1,1,1,3,2,"female"
"43","e44a0a34f2465940beda2a1537e9b99e",0,"More than 1000",1,0,8,3,3,"female"
"44","87e951aa965903b5d491606d8ce589c8",0,"More than 1000",0,1,2,3,6,"female"
"45","d0b547836c50ee330b1995a9ac4708bc",1,"",1,1,2,3,3,"male"
"46","7dbf08cfac3555da3d13c65c847db961",1,"",0,1,6,3,0,"male"
"47","7900e2f7f7e9dd4e6929cb4970b5256b",1,"",1,1,2,3,5,"male"
"48","549e783dae9697696354d887b0e4ef78",1,"",1,1,10,3,3,"male"
"49","bf8186c4ab5c092c3e268091479cd022",0,"26-100",1,1,0,3,4,"male"
"50","3ee23d0fd58e54c321aa6df355ab832f",0,"26-100",1,1,4,3,5,"male"
"51","a7c2195fc046b6c7cbbd766e373e204c",0,"6-25",1,1,6,3,5,"male"
"52","15b5f7c40bdbc4b50f8cd1af8def5c6f",0,"6-25",0,1,10,3,7,"male"
"53","b942d126d28dcb15a086c4961cf2ace6",0,"More than 1000",0,1,5,3,7,"male"
"54","7dd0a8c75a40d0f37e57080550eb54d6",0,"More than 1000",0,1,9,3,5,"male"
"55","77f8585a47d150d4ba95bf954bef44cd",0,"More than 1000",1,1,5,3,7,"male"
"56","0d698e3beca20fb75f19b9d528e36d73",0,"More than 1000",1,1,8,3,3,"male"
"57","0025ac487d01325db6c18c88451b2fa0",0,"More than 1000",1,1,7,3,4,"male"
"58","fc49ae611d22b9bb9d27c18228a926e0",1,"",1,1,8,4,8,"female"
"59","d3d7367cee35be8b20ea58c6090f0b0f",1,"",1,1,6,4,6,"female"
"60","b52ed238539bbce673ac7f6eb5b7254d",1,"",1,1,5,4,1,"female"
"61","a9879f80d96ebf012c603bf3dcb5fa97",0,"100-500",0,1,2,4,6,"female"
"62","1a0150530346350dbefc8ccbfa9672b4",0,"6-25",1,1,6,4,8,"female"
"63","a8da608be50e57fc4ac6516f4231ab19",1,"",1,1,6,4,5,"male"
"64","602246d10ba9e88cebf816cea17b3a77",0,"1-5",1,1,6,4,4,"male"
"65","8e0b1d6a0b1e1d4c6f9483efc9a4681d",0,"100-500",1,1,5,4,0,"male"
"66","7ebd1c6653577718c07e1b88b31a8e84",0,"100-500",0,1,6,4,5,"male"
"67","2137d060e3618a7fa459213e68fcbc58",0,"26-100",1,1,4,4,5,"male"
"68","0f0192f6672eec4f8d584ca636fe8dd1",0,"26-100",1,1,3,4,7,"male"
"69","f109ee6a66109748042a35cf84b20f8b",0,"6-25",1,1,5,4,9,"male"
"70","e8f8e0d2006003d072cf67eaac80fce3",0,"6-25",1,1,1,4,8,"male"
"71","980a7acf9463187be6008185098d3007",0,"6-25",1,1,7,4,5,"male"
"72","4509b8d497acaa4e4ca68b395caa6624",0,"6-25",1,1,4,4,8,"male"
"73","8e86c2988e22a3ca0e70b8288713d2f1",0,"More than 1000",1,1,4,4,3,"male"
"74","04dc874dc0b374fe6fce3cf46225240b",0,"More than 1000",1,1,6,4,5,"male"
"75","0220473bfd0f99b71630a2651836991f",0,"More than 1000",0,1,2,4,7,"male"
"76","b6d1b289261253b53b43fa18d32177e2",1,"",0,1,4,4,1,"male"
"77","ae656c69bea37c55e2a6e956fc40eba6",1,"",0,0,6,4,5,"male"
"78","d0a06b5ffa48435d05b8d47cc4567055",1,"",1,1,4,5,4,"female"
"79","b758392862efec9c11d81f0a30a4fa31",1,"",1,1,5,5,5,"female"
"80","4422ae807a82625cfe367a9315924251",1,"",0,1,10,5,2,"female"
"81","aec5522f72645cd52191f4e6a0619724",0,"100-500",1,0,6,5,8,"female"
"82","721e9827ae049297291152bdadf112c3",0,"100-500",1,1,10,5,7,"female"
"83","4c5f851d90a399259c9f8e5133e27f22",0,"100-500",1,1,8,5,8,"female"
"84","12a349bad8312f4dfd7c62c4e6e49afe",0,"100-500",1,1,5,5,10,"female"
"85","bd67ab09a6bfceb2b1eb9553b093251c",0,"26-100",0,1,8,5,7,"female"
"86","0ee5938e2b1a3dd53f020687886d2a40",0,"26-100",1,0,7,5,6,"female"
"87","876e31603187b566d0eda86e359d3421",0,"500-1000",0,1,5,5,4,"female"
"88","7c2d76ccd7f61ccdd87711c5a386f7af",0,"500-1000",1,1,7,5,7,"female"
"89","191f6f95e8bad391a0b24a292595328e",0,"500-1000",1,1,7,5,4,"female"
"90","b15b787b7a29b1539a3111391b12a336",0,"6-25",1,1,8,5,5,"female"
"91","e1d1d2807091b71d596d6541bd73c739",0,"More than 1000",0,0,8,5,5,"female"
"92","d5c243c021a66993914ecbcedc90b15f",0,"More than 1000",1,1,7,5,5,"female"
"93","b197ca64482e9a2d20a44330f48105c4",0,"More than 1000",1,1,7,5,7,"female"
"94","8217211238c53a3db93731a3a6bf1356",0,"More than 1000",0,1,2,5,0,"female"
"95","224bf619a480066b3317dd0ab6389cb3",0,"More than 1000",1,1,6,5,8,"female"
"96","ff399100653523a106a3afc677ef2492",1,"",0,1,5,5,2,"male"
"97","cfa0353b0ee48495501b47fbdaaf2241",1,"",0,1,3,5,4,"male"
"98","2ba00cb01c39df83e77245919d9028a0",1,"",1,1,7,5,5,"male"
"99","29a5f86946548b3d084988c34b655623",1,"",1,1,9,5,5,"male"
"100","aeb1d5359ab5d281b09a20611a1d99c1",0,"100-500",1,1,0,5,5,"male"
"101","750c41a7117be04dfd93b3617366bf7c",0,"100-500",1,1,5,5,10,"male"
"102","fb3191e57e915544bcf47be51c2f3f0b",0,"26-100",1,1,5,5,2,"male"
"103","f531b4670c7e9fcc997e5df21214cb66",0,"26-100",1,1,0,5,6,"male"
"104","ef6e11c557513c96264e39bffc6b2122",0,"26-100",1,1,10,5,4,"male"
"105","edb384096311646e257b9121df8274d4",0,"26-100",0,0,5,5,3,"male"
"106","e3008a65da56d5bf960fa4b107e115fd",0,"26-100",1,1,8,5,5,"male"
"107","a7624a1f68692ff66518a454120b7b3b",0,"26-100",1,1,7,5,7,"male"
"108","56c661ba707a0c6cdb0d3028dba8e329",0,"26-100",1,1,5,5,7,"male"
"109","12dca236d5cfd4f21eab6e580fbdce19",0,"26-100",1,1,5,5,3,"male"
"110","071b48c6841bb195e48239a0c97af76a",0,"26-100",1,1,5,5,5,"male"
"111","6150f820bcd40d1a720539c5b99461e0",0,"500-1000",1,1,7,5,5,"male"
"112","eacbe740515ab75f5d973a6b61918cfb",0,"6-25",1,1,7,5,5,"male"
"113","d16cf31822927efd1f172f55028cc89a",0,"6-25",0,1,3,5,5,"male"
"114","c7361d89328419b71ccd5f7cae16c818",0,"6-25",1,1,2,5,6,"male"
"115","c13a05924f8e7c18335ada0668b9d1be",0,"6-25",1,1,5,5,5,"male"
"116","c837cf346c91f9d0b70e5b801406c23c",0,"More than 1000",0,1,5,5,5,"male"
"117","bec63668808a5652f44c1e5ba0217121",0,"More than 1000",1,1,5,5,6,"male"
"118","95a1abe082b153c37d94802ff9ab7a84",0,"More than 1000",0,1,5,5,4,"male"
"119","885ba4de38457c7fe50e86ae7c5a14bb",0,"More than 1000",0,1,5,5,5,"male"
"120","76f3bafc4022ff4932f2b5933098c1d9",0,"More than 1000",1,1,5,5,5,"male"
"121","74815c98f7b64396dbc82fe06cc1fb31",0,"More than 1000",0,1,3,5,1,"male"
"122","5dfe44e5a61c10e69a46acee96520984",0,"More than 1000",1,1,8,5,3,"male"
"123","9e6f9d255eada48b1182619e90f3074c",0,"6-25",1,1,5,5,3,"male"
"124","47dc1362d7ce4955b884025d397ca1bb",1,"",1,1,6,6,9,"female"
"125","b9f417f876ed61d8bc5d24206565e9b3",0,"100-500",1,1,7,6,6,"female"
"126","5e76498a58a67139927e9e8427f05511",0,"100-500",1,1,6,6,6,"female"
"127","3577b6e733dc095904b966eaaf10d078",0,"100-500",1,1,6,6,4,"female"
"128","078dd64c25c25bce63c4a5977c2351ef",0,"26-100",1,0,8,6,4,"female"
"129","7827bf1459848270d7c184d2628a3c43",0,"500-1000",0,1,9,6,4,"female"
"130","6526cca6340c00a20db88f850cfe6e41",0,"500-1000",1,1,8,6,5,"female"
"131","1e8d7b35c9fce83bd5ee7c3f54c1b946",0,"500-1000",1,0,7,6,5,"female"
"132","b76dfe375473ce10cd89489ac9866b77",0,"More than 1000",0,1,7,6,7,"female"
"133","8a402d09224f9386bacca07002df9793",0,"More than 1000",1,1,8,6,5,"female"
"134","21408cca9c1e352f3241ff928f9cac8a",0,"More than 1000",1,1,5,6,4,"female"
"135","e6b2b72db27a5640d3991693f8dc7ec7",1,"",1,1,1,6,8,"male"
"136","c5a92cdad22662bd4b4ee022d81776a6",1,"",1,1,10,6,4,"male"
"137","b4a1593f9f44a662c7feb76f6978e838",1,"",1,1,3,6,8,"male"
"138","933220c6c1c48e53c7c5500fc713c6fd",1,"",1,1,4,6,5,"male"
"139","2f58d8b8e1c20ffa2fe98f9d6e229713",1,"",1,1,1,6,5,"male"
"140","2b28b50271d8fb1c07c28cc41a29cf87",1,"",0,1,7,6,4,"male"
"141","f5c179c4d82a24768afc79959da5e164",0,"1-5",1,1,2,6,9,"male"
"142","f0d076a7c769db9d301f30562ee7c9b5",0,"100-500",1,1,4,6,7,"male"
"143","e8c13fcc79d9bbeeb426a45d05c07e3d",0,"100-500",1,1,5,6,4,"male"
"144","41593574813d867ea92224871b5a165f",0,"100-500",1,1,8,6,5,"male"
"145","03c755fcacfc810158e436bd97369c6c",0,"100-500",1,1,6,6,5,"male"
"146","bb594ad4c3dc73a923bc199418a39c7f",0,"26-100",1,1,6,6,4,"male"
"147","aca7457d877fd2e5a71c55673038f65a",0,"26-100",1,1,5,6,4,"male"
"148","8bee213656a467f8e2f482f8a5f3aa9e",0,"26-100",1,1,8,6,5,"male"
"149","755e1b91e184e3a86d9938d1b1ebfaad",0,"26-100",1,1,8,6,4,"male"
"150","65f45b604818e10082930efbc722f2a1",0,"26-100",1,1,5,6,5,"male"
"151","052ad12ddeee1f72ed30c149ad8dd5d9",0,"26-100",1,1,7,6,4,"male"
"152","8ac3c338f34a34fbb2012e3f0d2371cb",0,"6-25",1,1,3,6,3,"male"
"153","5663ece9e2824213c935e6282cc626c8",0,"6-25",1,1,4,6,6,"male"
"154","33c0ecfd0e83b961563c0cbdff9bfb67",0,"6-25",1,1,8,6,7,"male"
"155","30cafd839959b31914010b21d26f5605",0,"6-25",0,1,5,6,5,"male"
"156","0898a6bb84d8cf361300ed2d01d3f779",0,"6-25",1,1,8,6,3,"male"
"157","025fa2a0b8ef2bdacd5a9535d38c3c72",0,"6-25",1,1,5,6,9,"male"
"158","22ab189d718e79d87994f8fff9576744",0,"More than 1000",1,1,10,6,5,"male"
"159","e2f777f5a533b59f163d41f6ef4752ac",0,"6-25",1,1,6,6,6,"female"
"160","db11ff1cd3c2d2c2cf8fe3e2400dc351",0,"More than 1000",1,1,4,6,5,"male"
"161","de15dfa6b97b79e3e2310bc32471667a",0,"100-500",1,1,7,7,9,"female"
"162","dc195228dffd604d5c2e861ae877c32d",0,"100-500",1,1,7,7,7,"female"
"163","b1f96b27aadccd1c659426c4f867e1b6",0,"100-500",1,1,7,7,5,"female"
"164","80e09843b7b0eff70b1e3bda2763bf0b",0,"100-500",1,1,4,7,6,"female"
"165","5157b99823b1ee6aefe50c05317fd0ea",0,"100-500",1,1,8,7,6,"female"
"166","2228369d3bfefcef035a5b746fb7a253",0,"26-100",1,1,10,7,10,"female"
"167","fbfa1726d100069d9bde00773a99aee0",0,"500-1000",1,1,10,7,7,"female"
"168","fd7f639309ef78fd098b323ab1c87c23",0,"6-25",1,1,6,7,1,"female"
"169","eb67cf72737df8863b47eab9b64ab3b8",0,"More than 1000",1,1,7,7,3,"female"
"170","c7d1cc084c848ca3a62a409f1e0afab8",0,"More than 1000",0,1,7,7,5,"female"
"171","bd9b03f0300908726fc08a0391308253",0,"More than 1000",0,1,3,7,2,"female"
"172","bd928e0236b9c5f781c4ad76f201a5aa",0,"More than 1000",1,1,9,7,9,"female"
"173","68a3f7f64eb5a29cd0dfe65c3e6eae76",0,"More than 1000",0,1,7,7,5,"female"
"174","4b1c54d46c6279c1a514f578cb0d0062",0,"More than 1000",1,1,8,7,2,"female"
"175","0c2d3e043da3b53fc1b0d4527d5c05df",0,"More than 1000",0,1,5,7,3,"female"
"176","77b6340c8ac546f1431b63e204c23f8e",1,"",0,1,3,7,4,"male"
"177","6da079d16ce14ccc8c5ff9cc0739f41d",1,"",0,1,7,7,3,"male"
"178","56b88fb36bcc945ce2729395ef878637",1,"",0,1,4,7,5,"male"
"179","552dd1cea6f05b5625ed9ca65ab69c53",1,"",0,1,8,7,7,"male"
"180","508eec25da78a8521e34be46281800c5",1,"",0,1,6,7,3,"male"
"181","c0e4cb6cb43f2c7dd7f75437f9b643bf",0,"100-500",1,1,7,7,9,"male"
"182","7aa53783d0e69af8b1c314e4774d38ab",0,"100-500",1,1,7,7,6,"male"
"183","33e2cc490c3773bd900700f61ffeb036",0,"100-500",1,1,6,7,6,"male"
"184","1c06f1a9e1f9f1be2a6380d0bb482cc2",0,"100-500",1,1,5,7,7,"male"
"185","13f6adccd2ea40831f4994089ea4d54e",0,"100-500",1,1,0,7,3,"male"
"186","da971201a7713c9d881c5daf1e2dc0ab",0,"26-100",1,1,6,7,5,"male"
"187","a07228c1ef4a3631aa53dc51e9fc8fd8",0,"26-100",0,1,6,7,5,"male"
"188","9cfb50daa4d1aa7ea78e9966166e32cf",0,"26-100",0,1,6,7,6,"male"
"189","849fc45553bc6229f2e196372c6417fb",0,"26-100",1,1,6,7,8,"male"
"190","6930cf6daa9887c5ca01ba73ecdae266",0,"26-100",0,1,6,7,0,"male"
"191","596918bfe06d0bd4f97371264709f197",0,"26-100",1,1,7,7,8,"male"
"192","3851c43ad1412adfceb509a8039dea11",0,"26-100",1,1,9,7,7,"male"
"193","31d3ae93b68d79e504a0a643601b6b1e",0,"26-100",1,1,7,7,5,"male"
"194","297d01c6bd771a71401b479d07018767",0,"26-100",1,1,7,7,0,"male"
"195","c368da94f5b67ac7d6bb215ecf955fea",0,"500-1000",0,1,4,7,6,"male"
"196","83795e3fc6dab0cefd483682aef6123a",0,"500-1000",0,1,4,7,6,"male"
"197","37370cff0179e35e015e97f4d54d6e0e",0,"500-1000",0,1,9,7,7,"male"
"198","288ee041657df87b1585cead3e89268c",0,"500-1000",0,1,6,7,4,"male"
"199","d0a97741b04f1887f43c23839200a195",0,"6-25",1,1,0,7,5,"male"
"200","aa1aa92dbb269d768dbc6c2003407b31",0,"6-25",1,1,5,7,8,"male"
"201","8681cc9a11dd54bce1a1d8936a44f9e2",0,"6-25",0,1,5,7,6,"male"
"202","835a61493104481a5974154e456971e9",0,"6-25",1,1,7,7,7,"male"
"203","788ea7dcbb5fb792ab5b6810c0bf9bb4",0,"6-25",1,1,0,7,3,"male"
"204","71a558c67d5551d69c42922594e9d154",0,"6-25",1,1,4,7,6,"male"
"205","6eb617b7f49da0c1e48b44ec7e548597",0,"6-25",1,1,5,7,4,"male"
"206","679b8798134b2bad2a415453b53cdba0",0,"6-25",1,1,7,7,8,"male"
"207","097a40923eaa28a5d0e7eabf9485bc47",0,"6-25",1,1,7,7,7,"male"
"208","f15547da155aa11146cb7b024d7b73f5",0,"More than 1000",1,1,8,7,6,"male"
"209","bb1ac610ddf73fcf88b79bab4b934f29",0,"More than 1000",0,1,6,7,5,"male"
"210","39421726306e089f8a84c6a0ee6fc330",0,"More than 1000",1,1,5,7,8,"male"
"211","1a5c48d7e6ab845ee5e6912d3a4ea7a7",0,"More than 1000",1,1,5,7,7,"male"
"212","07420aef6fc276f3d3217c4757f6cd81",0,"More than 1000",1,1,8,7,5,"male"
"213","03064629cf35af335b8fb6838606dcec",0,"More than 1000",1,1,3,7,3,"male"
"214","a64a1b0bb295d8ad5f4cd142833781fb",0,"100-500",1,1,8,7,5,"male"
"215","e39537a7c3bf2f733f963f502c663953",1,"",1,1,10,8,2,"female"
"216","775d7f325e99f0e53ab63d90b8107043",1,"",0,1,10,8,4,"female"
"217","682544cedf0dee8c0d44b2f6126b4232",1,"",1,1,7,8,5,"female"
"218","d046e90e18196c65f7eda060192c921e",0,"1-5",1,1,8,8,7,"female"
"219","867c20e23ad9c8d5d28d28c153cf02ce",0,"100-500",1,1,6,8,6,"female"
"220","25795b82388f6cd00c3a076301d805f9",0,"100-500",1,1,7,8,7,"female"
"221","231cb45d5dba96f2052f92791ba397f7",0,"100-500",1,1,6,8,8,"female"
"222","200e67bd269cda25515e4f456b0d8ca3",0,"100-500",1,1,6,8,8,"female"
"223","10d497e36f759cc1727158080e163f1a",0,"100-500",1,1,5,8,9,"female"
"224","a27c952ce0a0ef9f2eb2bb7b97d0d3e8",0,"26-100",1,1,5,8,6,"female"
"225","80763f2f13d2877448e9d813c735f957",0,"26-100",1,1,6,8,4,"female"
"226","540da42e39c1189e0067e5094bd3de9f",0,"26-100",0,1,6,8,5,"female"
"227","37bd272dac162c701004ae51ad5b579d",0,"26-100",1,1,2,8,5,"female"
"228","cd28244215ee025cb221bad8282bf9b6",0,"500-1000",1,1,8,8,4,"female"
"229","683eeed9dca7c21d16f09a943e340385",0,"500-1000",1,1,7,8,4,"female"
"230","487ad3a75f85e9da55f552572b67c41e",0,"500-1000",0,1,9,8,5,"female"
"231","475ff85e40ef7d548ab66dbb9a1ba6c6",0,"500-1000",0,1,6,8,7,"female"
"232","bf6b7ab73a3035a1f4fa89a38bcd7ad1",0,"6-25",1,1,10,8,7,"female"
"233","7b8e912012f282e6020b2f6f979048ee",0,"6-25",1,1,3,8,5,"female"
"234","173e4495467a149457af3c3dadaef4ad",0,"6-25",1,1,4,8,5,"female"
"235","f62a13bfcf6e94355408a62a571323d4",0,"More than 1000",1,1,5,8,6,"female"
"236","e0a32afbc5173b47b54e073bfcb43056",0,"More than 1000",0,1,7,8,4,"female"
"237","d38f2598e4949d00a17372a63d668809",0,"More than 1000",0,1,8,8,2,"female"
"238","864e3189d097fd33e3aba5f274269da2",0,"More than 1000",1,1,2,8,3,"female"
"239","673428d0e6f3939485473cb485f1d46c",0,"More than 1000",0,0,8,8,3,"female"
"240","584f64d32c3868ccfe4a83116fb54ccd",0,"More than 1000",1,1,7,8,6,"female"
"241","52a2e06ca9aff6e139ec77a07522044f",0,"More than 1000",1,1,5,8,6,"female"
"242","0e648c993c71930f0180d66ac30cee39",0,"More than 1000",1,1,3,8,4,"female"
"243","fad7882fa8394be7fd617b4681449a61",1,"",0,1,9,8,6,"male"
"244","d1a90c6a431a1484aadc568270c45285",1,"",0,1,8,8,5,"male"
"245","956fcc030b13b63dc6accf70b05638b0",1,"",1,1,10,8,5,"male"
"246","53945908e1f9a63a0840aa10c11bab7a",1,"",1,1,7,8,5,"male"
"247","4559b42bed4c0ee858e575e20e6ecf68",1,"",1,1,0,8,6,"male"
"248","2ad2f30bef2a4d06e4598163c666b2f9",1,"",1,1,5,8,7,"male"
"249","f7f4d68793489a7785e8d18e720c668b",0,"100-500",1,1,5,8,3,"male"
"250","d4421886cb2c6a9fb11a33dd4905d493",0,"100-500",0,1,5,8,5,"male"
"251","c2e445004669ec9a9c8cb55a25acd8f3",0,"100-500",1,1,7,8,8,"male"
"252","c27be4d2a1eb40757e5be080a68b4ca9",0,"100-500",0,1,6,8,6,"male"
"253","babf5da3225a978cc9424fbc769731d5",0,"100-500",1,1,9,8,6,"male"
"254","b7bd8db00348415e1e9df49129290e31",0,"100-500",0,1,8,8,9,"male"
"255","946b8317d9a0c579d802d36d6192c7cd",0,"100-500",0,1,5,8,5,"male"
"256","8d90918be530d5c0e25383cbb8e07868",0,"100-500",0,1,2,8,1,"male"
"257","7cf45fb3b9d4e59f861b9b25805ec2c1",0,"100-500",1,1,7,8,5,"male"
"258","7cee2847f3269b84ce139de7274c94b0",0,"100-500",0,1,6,8,7,"male"
"259","79ead2d26c80da3d032e44c5c457b79f",0,"100-500",1,1,6,8,5,"male"
"260","769d4f9f9310f38bd01e9125fc4a2fbf",0,"100-500",0,1,7,8,4,"male"
"261","4756e0e6306088e3a66fe91ae004e7e2",0,"100-500",1,1,5,8,5,"male"
"262","22997fa72f79f4317a37590df57fa284",0,"100-500",1,1,7,8,7,"male"
"263","1f3147f05bcb11bf168243414ee92729",0,"100-500",1,1,7,8,5,"male"
"264","0b4d5e7701fe13467df8016667d84755",0,"100-500",1,1,5,8,5,"male"
"265","03a8ee7f1d70e589bab1aa85fff99142",0,"100-500",1,1,7,8,5,"male"
"266","d788e2d03ffe13d80a3fca4607e02a36",0,"26-100",0,1,6,8,4,"male"
"267","c7001583699c208ccf02219865770f4d",0,"26-100",1,1,10,8,8,"male"
"268","a159dbf2eb078be79014c5c624cab149",0,"26-100",1,1,2,8,6,"male"
"269","497622210f4014f2b15740e935169e0c",0,"26-100",1,1,8,8,4,"male"
"270","e94a87bec9a25b6b35c9b26e0852a57f",0,"500-1000",0,1,8,8,7,"male"
"271","739a4588732e14e25cc9cbdcfa00b12b",0,"500-1000",0,1,8,8,8,"male"
"272","2928c9f426e7fefba0d775e23a1c6a66",0,"500-1000",1,1,6,8,5,"male"
"273","c69d251378d09c58c7e80e916f67c082",0,"6-25",1,1,6,8,6,"male"
"274","ba4c785511454575bf8b23eea889db9e",0,"6-25",1,1,8,8,6,"male"
"275","9fd34bd1bcc489a5a9e9104789dfedf9",0,"6-25",1,1,3,8,5,"male"
"276","80fa32fdc2d68f7ee3b31548efddd5ed",0,"6-25",1,0,2,8,5,"male"
"277","730041159a09324f19cbd007c4d217d7",0,"6-25",1,1,7,8,5,"male"
"278","1c1620eb72327a7d0e19e470a81d24cf",0,"6-25",1,1,8,8,5,"male"
"279","f196b61612a05e0383eb6ed904b9b108",0,"More than 1000",1,1,6,8,5,"male"
"280","cdff84cb044cdbb0e5b195cf716055f8",0,"More than 1000",1,1,10,8,2,"male"
"281","cd1ab05e325878b4a57d6b7da00656d3",0,"More than 1000",1,1,9,8,7,"male"
"282","bc516217ce889b4ff0d4790038e5040a",0,"More than 1000",0,1,1,8,0,"male"
"283","b65b169498e2b9daaae17c4bb2b777df",0,"More than 1000",0,1,6,8,5,"male"
"284","a578c6b69efb3a6e71680a91dcb2975a",0,"More than 1000",1,1,3,8,7,"male"
"285","8c807de145b9d62ae1a7375b4246041c",0,"More than 1000",0,1,3,8,8,"male"
"286","7f6651fa80092e4eff433fa1f30e4774",0,"More than 1000",1,1,7,8,8,"male"
"287","6ed4092bd144ff33aea503c61668016a",0,"More than 1000",1,1,3,8,6,"male"
"288","4b2bc7b557228576ec6ab1627a9dea32",0,"More than 1000",1,1,10,8,5,"male"
"289","2a7faa305e39c42fe0c1a48dc3dea12c",0,"More than 1000",1,1,7,8,7,"male"
"290","1bc655ef65db3aaac432f0ef657e6aad",0,"More than 1000",1,1,6,8,5,"male"
"291","7621b4241042b6914e7cd17804a61e4b",0,"6-25",1,1,5,8,3,"female"
"292","82845ef1753fb80578a6ae515cdb9678",0,"More than 1000",1,1,3,8,6,"male"
"293","2b72af7fe9c3414aadba40f6e2164920",0,"More than 1000",1,1,7,8,5,"female"
"294","99b0c14712f6d9beca7e0ba302dd3e98",1,"",1,1,7,9,4,"female"
"295","e28c8659e9971379d209c56021b77ac6",0,"100-500",1,1,5,9,5,"female"
"296","a301df510559490615ab57349bcc1fc7",0,"100-500",0,1,6,9,5,"female"
"297","3f9fdd5cc2fd6c429c9246bdd65fb557",0,"26-100",0,1,6,9,5,"female"
"298","21af51ffb01b78b2d4fd5c9049c14e99",0,"26-100",1,1,7,9,8,"female"
"299","96180717526de0e1d5465dfb31209419",0,"500-1000",1,1,9,9,4,"female"
"300","6777c68000cece9f5b11a3534349202d",0,"500-1000",1,1,3,9,7,"female"
"301","4dfb60e3931c87f7bb3fa41883be756f",0,"6-25",1,1,5,9,6,"female"
