"ID","is_self_employed","org_size","is_tech_company","is_tech_role","employee_health_importance","willingness_to_share","reaction_to_health_disorder","gender"
"8c807de145b9d62ae1a7375b4246041c",0,"More than 1000",0,1,3,8,8,"male"
"7f6651fa80092e4eff433fa1f30e4774",0,"More than 1000",1,1,7,8,8,"male"
"6ed4092bd144ff33aea503c61668016a",0,"More than 1000",1,1,3,8,6,"male"
"4b2bc7b557228576ec6ab1627a9dea32",0,"More than 1000",1,1,10,8,5,"male"
"2a7faa305e39c42fe0c1a48dc3dea12c",0,"More than 1000",1,1,7,8,7,"male"
"1bc655ef65db3aaac432f0ef657e6aad",0,"More than 1000",1,1,6,8,5,"male"
"7621b4241042b6914e7cd17804a61e4b",0,"6-25",1,1,5,8,3,NA
"82845ef1753fb80578a6ae515cdb9678",0,"More than 1000",1,1,3,8,6,NA
"2b72af7fe9c3414aadba40f6e2164920",0,"More than 1000",1,1,7,8,5,NA
"99b0c14712f6d9beca7e0ba302dd3e98",1,"",NA,NA,NA,9,4,"female"
"e28c8659e9971379d209c56021b77ac6",0,"100-500",1,1,5,9,5,"female"
"a301df510559490615ab57349bcc1fc7",0,"100-500",0,1,6,9,5,"female"
"3f9fdd5cc2fd6c429c9246bdd65fb557",0,"26-100",0,1,6,9,5,"female"
"21af51ffb01b78b2d4fd5c9049c14e99",0,"26-100",1,1,7,9,8,"female"
"96180717526de0e1d5465dfb31209419",0,"500-1000",1,1,9,9,4,"female"
"6777c68000cece9f5b11a3534349202d",0,"500-1000",1,1,3,9,7,"female"
"4dfb60e3931c87f7bb3fa41883be756f",0,"6-25",1,1,5,9,6,"female"
"46bf2bcb169d93b89136508b7cb2001e",0,"6-25",1,1,9,9,10,"female"
"f5a5299c4affc43c60958b11602c628e",0,"More than 1000",1,1,7,9,NA,"female"
"7c8ffd0cdc80dbaaffb6bd2cbfdf0eb6",0,"More than 1000",0,1,6,9,7,"female"
"12482ec8cc9445b1d1779f4eae976e55",0,"More than 1000",1,1,6,9,9,"female"
"9480efd3d097e3efb00a8c0711ae90aa",1,"",NA,NA,NA,9,0,"male"
"9049e8c14c44adcab37c9c172cbefcd0",1,"",NA,NA,NA,9,7,"male"
"6f5ddb75320ef7985e895ed33fb43a22",1,"",NA,NA,NA,9,8,"male"
"14ce6822019b973bb74a3dd2bf65458b",1,"",NA,NA,NA,9,6,"male"
"dbe512f6ebce981f22d9197a28f9fe30",0,"100-500",1,1,7,9,8,"male"
"9329503f82e46248b3c9c0ca4d5c0676",0,"100-500",1,1,7,9,10,"male"
"8263e6ccecfe2812417d898d20db9c1a",0,"100-500",1,1,7,9,8,"male"
"76e2684536f68d5f452f66f6913eca27",0,"100-500",1,1,9,9,10,"male"
"215cd2dec1bd163a93d0db9f88c00c74",0,"100-500",1,1,7,9,8,"male"
"d65adc29aaa96448e26cb18ad92ed357",0,"26-100",1,1,7,9,7,"male"
"cc55f44fe8fb7025d0a753d178f25a3b",0,"26-100",1,1,5,9,0,"male"
"b84c5bc321fb2f42d7e8ae9786468337",0,"26-100",1,1,5,9,8,"male"
"9ea85e45590fc1287b8483a383d05eba",0,"26-100",1,1,9,9,8,"male"
"8aa98032f580314250d69eea583fd68e",0,"26-100",1,1,8,9,8,"male"
"7880caf48afa8283a342b7f9ecdb10b2",0,"26-100",1,1,8,9,8,"male"
"2aea542df697c46d69d717fe6dd9829f",0,"26-100",1,1,7,9,7,"male"
"2632729126601475fa324c723267f402",0,"26-100",1,1,8,9,10,"male"
"a47bb56fbbee5646af4d842eb8955f4c",0,"500-1000",0,1,10,9,5,"male"
"8ea390eed4564f583b304d2e8203850c",0,"500-1000",1,1,5,9,6,"male"
"63a92d530f566135069cc50afbd6f564",0,"500-1000",1,1,7,9,3,"male"
"f8624340bead7deb08abb766704ddf6b",0,"6-25",1,1,8,9,NA,"male"
"9f906baf8fcd11c241017904c64a9533",0,"6-25",1,1,9,9,7,"male"
"99319d83478777bf4bc9e56ba772d92a",0,"6-25",0,1,5,9,5,"male"
"83e6a49ada8c9ef964b4a4b7e1eb1d5e",0,"6-25",1,1,2,9,5,"male"
"5177c7a5797e39bbecf40fe1c226cfe8",0,"6-25",0,1,8,9,6,"male"
"c9325fa2bb12c50bd01728e454a6b9c1",0,"More than 1000",1,1,8,9,6,"male"
"c7acaedfb42bd4f9f4249c4e9137db60",0,"More than 1000",0,1,8,9,6,"male"
"c6ebf9373c4051a5410baf2e1ea895a7",0,"More than 1000",1,1,8,9,8,"male"
"64df855b7b19c079bae47e18cf9e96dd",0,"More than 1000",0,1,7,9,5,"male"
"128438df820ecbeb6811bf73dbb70e7f",0,"More than 1000",0,1,5,9,4,"male"
"0c29796d0d6d5a815af2e1ae775587fc",0,"More than 1000",1,1,8,9,8,"male"
"039fe75c24d26a2a1280ca0187000562",0,"100-500",0,1,10,9,8,NA
"255c9eacb91ca3cd6085198f54cb99ab",1,"",NA,NA,NA,10,4,"female"
"100f9f33e52361e509f224ef13f83d8d",0,"1-5",1,1,3,10,4,"female"
"fd1103e4d9070fbad8a865fbcf48450f",0,"100-500",1,1,6,10,NA,"female"
"fc6b3964bb163111d8e3e139e41826c1",0,"100-500",0,1,5,10,NA,"female"
"c84682edd200d3593a8300910ff2b77a",0,"100-500",0,1,9,10,5,"female"
"bdbb6cdd368f7bdff2391a903f312f5e",0,"100-500",1,1,7,10,0,"female"
"bcea7ceece5c4b8f15bd4c8f22f00e42",0,"100-500",1,1,8,10,6,"female"
"9e6cd681ba26a25454b2ba54ecaec01a",0,"100-500",1,0,8,10,4,"female"
"19459b1052433276ac43762ac3f490b4",0,"100-500",1,1,10,10,5,"female"
"e68faf07a26fe05d2c9b0c07e01dff09",0,"26-100",0,1,6,10,NA,"female"
"e350a0fbed2d9ead9e44b1be80514a34",0,"26-100",1,0,3,10,7,"female"
"69180abd006dbe6ee0c2b2085f401134",0,"26-100",1,1,10,10,10,"female"
"3ecd0df19625113040841b4c5a9f2b7b",0,"26-100",1,1,8,10,5,"female"
"1ec718c192b9af05b7460a3248a36a1b",0,"26-100",1,1,5,10,7,"female"
"1bbefb67027bf2e5d0a3a2c0591c3b4c",0,"26-100",1,1,5,10,9,"female"
"5e48b2c6e404271f564742e8d20b5811",0,"500-1000",0,0,5,10,3,"female"
"f40835979eca961b8747205079f4280e",0,"More than 1000",0,1,7,10,NA,"female"
"d0c73db0c117f55abac3e9cd95602709",0,"More than 1000",1,1,6,10,4,"female"
"b56a9964ab7d6a4dea282fbed59ec0a8",0,"More than 1000",0,1,7,10,8,"female"
"b52a801bfc3200ba18930c451f33b351",0,"More than 1000",1,1,7,10,7,"female"
"a286e17eda1653bc8a0b09cc306244ef",0,"More than 1000",1,1,6,10,7,"female"
"9e8e1884fbea3629e79365a5085bd795",0,"More than 1000",1,1,10,10,5,"female"
"747c1b0797f308bbb9421e7f1a26ff6b",0,"More than 1000",0,1,2,10,5,"female"
"6ca240bc00063876cf6001bbb2d72921",0,"More than 1000",1,1,7,10,4,"female"
"396ef3ad5c82a5646e7cdb11dcb2a00a",0,"More than 1000",1,1,8,10,5,"female"
"30c04244af515ddd7bd3d9e81482af04",0,"More than 1000",0,1,5,10,5,"female"
"15818443d33cb432ab4b7897489fa273",0,"More than 1000",1,1,5,10,5,"female"
"13c09fb6e6b078eb38f6b7daeeeef05c",0,"More than 1000",0,1,0,10,4,"female"
"91b9e3099e8b4c31c25458dcbc85896a",1,"",NA,NA,NA,10,10,"male"
"5da3fa05e5ad217441f35937f6a26b6f",1,"",NA,NA,NA,10,10,"male"
"5d9d8cb4d31a1658cb606aacd56cdff1",1,"",NA,NA,NA,10,7,"male"
"5af32fe4d93d7f3f29b15dea8fe233d0",1,"",NA,NA,NA,10,10,"male"
"26244ef1966babc139819cedd3c3027c",1,"",NA,NA,NA,10,5,"male"
"1d02a75455b6779e89a5ab620e47e539",1,"",NA,NA,NA,10,7,"male"
"029f481e477ca03c3098fe555c578077",1,"",NA,NA,NA,10,0,"male"
"dc634965b9f90dd3b1c90d70eb1c4ade",0,"100-500",1,1,6,10,9,"male"
"c0c3aa4819ee599db70c9a54ea22b48e",0,"100-500",1,0,3,10,3,"male"
"b76806b7f99d9f389e296e848a3bf51b",0,"100-500",0,1,5,10,5,"male"
"b692021a89ea5fb7901bf70aca6829aa",0,"100-500",1,1,0,10,5,"male"
"b63d26b836218638b543fb52787e3d28",0,"100-500",1,1,7,10,7,"male"
"a95208bdf5b6ed309d5a4218828fc6e2",0,"100-500",1,1,5,10,10,"male"
"a4f282fd2fde999881346c1f483c6ff9",0,"100-500",1,1,5,10,8,"male"
"621e93101bfabd3402c54432b9c52180",0,"100-500",1,1,8,10,6,"male"
"30e0a0a1aa03dbb11cfdafeadb6b0a45",0,"100-500",1,1,5,10,5,"male"
"25d86818bf0ebf69e29dd0170b6fbf81",0,"100-500",1,1,5,10,5,"male"
"dff48ff7e522f7c08a661ced57124ca0",0,"26-100",1,1,7,10,7,"male"
"c929d0a1151eb8a63aa0b9eaab9fab80",0,"26-100",1,1,8,10,9,"male"
